number,name,date,proponents,parties,link,processing_status,processing_result,summary,keywords
2210604,군형법 일부개정법률안,2025-05-26,"['강대식', '강선영', '고동진', '김상훈', '김용태', '백종헌', '유상범', '유용원', '이양수', '이인선', '최은석']","['국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘']",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2W5W0V5W2U6U1C0B4B6Z4A5Z8Z8H5,1,,"제안이유 및 주요내용\n현행법은 「군사기지 및 군사시설 보호법」위반 사건에 대해 민간경찰과 군사경찰 모두 수사권을 가지도록 규정하고 있음.\n그런데 최근 중국인이 촬영장비를 활용하여 전투기를 촬영하는 등의 안보위협 사례가 지속적ㆍ반복적으로 있음에도 불구하고 민간경찰은 외국 간첩행위에 대해 실질적 처벌이 어렵고 민간경찰의 안보사건 수사에 전문성이 부족하여 대공혐의점이 없다고 판단하여 이들을 석방해 군사보안에 대한 실질적 대응이 이루어지지 못하고 있다는 문제가 제기됨.\n이에 해당 사건에 대한 수사를 군사법경찰관이 전담하도록 하고, 「군사기지 및 군사시설 보호법」 제24조제4항부터 제6항까지의 보호구역에서의 금지 또는 제한 행위를 위반한 자에 대해 군사법원이 재판할 수 있도록 하여 안보사건에 대한 신속하고 전문적인 대응체계를 마련하고자 함(안 제1조제4항제14호 신설).","['중국', '안보협력', '국가안위', '군사시설보호구역', '국제범죄', '안보위협', '민간경찰', '군사경찰', '군사작전', '군사기지및군사시설보호법', '군사법원']"
2210603,지방자치단체 기금관리기본법 일부개정법률안,2025-05-26,"['김성원', '김선교', '김용태', '김위상', '김정재', '박충권', '안상훈', '이인선', '이종배', '최수진']","['국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘']",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2R5P0Q5Y2Z6X1X1W3U2V5C6D0C8C3,1,,"제안이유 및 주요내용\n현행법은 인구감소로 인한 지방소멸 위기에 대응하기 위한 사업을 추진하기 위하여 지방자치단체에 재정지원을 할 목적으로 지방소멸대응기금(이하 “기금”이라 함)을 설치ㆍ운용하도록 하고 있음.\n그러나 기금은 현재 시설 설치 등 인프라 구축에 집중되고 있고, 기금을 경비, 운영비, 현금성 지원 등에 활용할 수 없어 재정여건이 열악한 인구감소지역의 경우 기금으로 시설을 건립한 후 시설 운영비를 감당하지 못해 운영에 막대한 차질을 빚고 있는 상황임.\n또한 지역주민이 체감할 수 있는 직접적인 지원 정책인 전입장려금을 포함하여 저출생 극복을 위한 신혼부부 주거지원, 난임부부 및 임산부 지원, 양육수당 등 국가 정책 수준의 사업 역시 자체 예산으로 시행하기에 많은 어려움이 있어 인구소멸 위기의 악순환이 반복되고 있는 실정임.\n이에 기반시설 사업으로 제한되고 있는 기금의 용도를 경상비, 시설 운영비 등까지 확대하여 인구감소지역의 재원 유연성을 확보하고, 지역여건을 반영한 다양한 특화 사업을 추진하도록 하는 등 현행 제도의 개선을 통하여 지방소멸에 보다 적극적으로 대응하려는 것임(안 제24조제1항).","['인구감소', '지방정부', '저출생극복', '재정지원', '기반시설', '난임시술', '신혼부부', '인구감소지역', '지방소멸', '지역주민', '지역균형발전사업', '저출생·고령화', '지방채', '지역개발', '인구', '지역일자리']"
2210602,지방의료원의 설립 및 운영에 관한 법률 일부개정법률안,2025-05-26,"['전종덕', '강경숙', '김윤', '김재원', '김종민', '문대림', '송옥주', '양부남', '윤종오', '이병진', '이수진', '전진숙', '정혜경', '주철현', '한창민']","['진보당', '조국혁신당', '더불어민주당', '조국혁신당', '무소속', '더불어민주당', '더불어민주당', '더불어민주당', '진보당', '더불어민주당', '더불어민주당', '더불어민주당', '진보당', '더불어민주당', '사회민주당']",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2T5U0S5T0O7P1N5M1M2K4L0T8U5S0,1,,"제안이유 및 주요내용\n지방의료원은 지역 주민에게 기본적인 진료, 예방접종, 건강검진 등 필수적인 의료서비스를 제공하는 의료기관으로, 의료기관이 부족한 지역이나 의료서비스 접근이 어려운 지역에 공공보건의료를 제공하는 중요한 역할을 하고 있음.\n예기치 못한 재난 발생, 감염병 유행 등의 상황에서 지방의료원이 이에 적절하게 대응하고 지역 주민의 건강을 보호하기 위해서는 안정적인 지원 체계를 마련하여 지속적인 운영이 가능하도록 할 필요가 있음. 또한, 지역 간 의료서비스 격차에 대응하고 공공보건의료체계를 강화하기 위해 지방의료원을 설립하는 경우에는 신속한 추진이 가능하도록 절차적 특례를 규정할 필요가 있음.\n이에 공공보건의료사업을 수행하기 위하여 지방의료원을 신설 또는 증축하는 경우 예비타당성조사를 면제하도록 하고, 지방의료원이 재난, 감염병 발생 등으로 공공보건의료기관 역할을 수행하는 과정에서 경영상 손실이 발생하는 경우 국가가 이를 보전하도록 함으로써 공공의료를 강화하고 지역 주민의 건강권을 보장하려는 것임(안 제4조제4항 단서 및 제17조제6항 신설 등).\n참고사항\n이 법률안은 전종덕의원이 대표발의한 「국가재정법 일부개정법률안」(의안번호 제10601호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정의결되는 경우에는 이에 맞추어 조정되어야 할 것임.","['공공보건의료', '필수의료', '의료서비스', '의료기관', '공공보건의료체계', '지역간의료서비스격차', '지방의료원', '의료접근성', '의료안전망', '지역의료', '지역주민', '감염병', '의료지원', '건강권']"
2210601,국가재정법 일부개정법률안,2025-05-26,"['전종덕', '강경숙', '김윤', '김재원', '김종민', '문대림', '백선희', '송옥주', '양부남', '윤종오', '이병진', '이수진', '전진숙', '정혜경', '주철현', '한창민']","['진보당', '조국혁신당', '더불어민주당', '조국혁신당', '무소속', '더불어민주당', '조국혁신당', '더불어민주당', '더불어민주당', '진보당', '더불어민주당', '더불어민주당', '더불어민주당', '진보당', '더불어민주당', '사회민주당']",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2T5U0S5T0A7B1A5Y1Y1W0X9F9G4E2,1,,"제안이유 및 주요내용\n예비타당성조사는 재정운영의 효율성을 제고하기 위하여 사업의 경제성ㆍ정책성 및 지역균형발전 등을 분석하여 사업계획의 타당성, 대안 및 사업 추진과정에서 고려할 점을 조사하는 제도로, 현행법은 총사업비가 500억원 이상이면서 국가의 재정지원 규모가 300억원 이상인 건설공사 포함 사업, 지능정보화 사업 및 국가연구개발사업 등을 대상으로 실시하도록 규정함.\n최근 코로나19 등 신종 감염병이 유행함에 따라 민간영역에서는 대응하기 힘든 감염병에 대한 국가적 대응 체계를 강화하고, 지역ㆍ계층 간 의료서비스 격차를 완화하기 위해서 공공보건의료 강화의 필요성이 커지고 있으나, 2020년 기준 우리나라 병원급 이상 의료기관 중 공공의료기관의 비율은 5.4%, 전체 병상수 중 공공병상 비율은 9.7%로, OECD 회원국 평균 공공의료기관 및 공공병상 비율 52.9%, 71.8%에 비해 매우 낮은 수준임.\n그런데 공공보건의료기관 신축의 경우 공공의료의 특성상 대부분 수익성이 낮고, 비용 대비 편익비율이 낮게 나올 가능성이 커 현행 제도에서는 예비타당성조사를 통과하기 쉽지 않고, 실제 2004년부터 2024년 8월까지 10건 중 4건이 예비타당성조사를 통과하지 못하였음.\n이에 공공보건의료사업을 수행하기 위해서 「지방의료원의 설립 및 운영에 관한 법률」에 따른 지방의료원을 신설 또는 증축하는 경우 예비타당성조사를 면제하여 지역 간 의료서비스 격차에 대응하고, 지역 주민의 건강권을 보장하며 공공의료를 강화하는데 이바지하려는 것임(안 제38조제2항제11호 신설).","['공공보건의료', '예비타당성조사', '공공의료기관', '필수의료', '총사업비', '공공병상', '의료기관', '건강안전망', '공공의료', '의료서비스격차', '지역주민', '병상증설', '의료지원', '예방']"
2210600,낚시 관리 및 육성법 일부개정법률안,2025-05-26,"['박수현', '김종민', '박용갑', '서삼석', '양문석', '양부남', '윤후덕', '이개호', '이건태', '이연희', '조계원', '조인철']","['더불어민주당', '무소속', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당']",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2F5F0D5E2C1B1B5X2Y4W4X9V0V8T6,1,,"제안이유 및 주요내용\n최근 낚시가 국민의 대표적인 여가활동으로 자리 잡음에 따라 증가하는 낚시 수요에 대응하기 위하여 낚시인의 편의를 증진하고 낚시 관련 산업 활성화를 위한 제도적 지원이 요구되고 있음.\n그런데 현행법은 낚시 관련 산업의 발전을 목적으로 하고 있음에도 현행법의 대다수 조항들이 낚시 활동 규제에 관한 내용일 뿐만 아니라, 증가하는 낚시 수요에도 불구하고 낚시통제구역은 지속적으로 확대되고 있어 낚시 관련 산업은 더욱 위축되고 있는 실정임.\n이에 낚시진흥기본계획에 낚시 관련 규제완화 및 제도개선 등 낚시산업 육성을 위하여 필요한 사항을 포함하도록 하는 한편, 낚시활동과 관련된 여건을 집중적으로 조성할 필요가 있는 지역 등을 낚시여가지구로 지정하여 특례를 부여할 수 있도록 함으로써 낚시 문화 조성 및 낚시 활동 인프라 구축을 통한 낚시 산업 육성을 도모하려는 것임(안 제43조제3항제5호 및 제44조의2ㆍ제44조의3 신설 등).","['낚시', '여가활동', '관광객유치', '규제', '낚시활동', '낚시관련산업', '지역경제', '낚시꾼', '관광자원', '지역개발', '관광업계', '규제완화']"
2210599,의료사고 피해구제 및 의료분쟁 조정 등에 관한 법률 일부개정법률안,2025-05-26,"['김선민', '김남희', '김준형', '백선희', '서왕진', '신장식', '장종태', '전종덕', '전진숙', '정춘생', '황운하']","['조국혁신당', '더불어민주당', '조국혁신당', '조국혁신당', '조국혁신당', '조국혁신당', '더불어민주당', '진보당', '더불어민주당', '조국혁신당', '조국혁신당']",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2X5X0W4E2E1D1D4C2A1B1I3J0I7I0,1,,"제안이유 및 주요내용\n현행법은 의료분쟁을 조정하거나 중재하기 위하여 한국의료분쟁조정중재원에 의료분쟁조정위원회(이하 “조정위원회”라 함)를 두도록 하면서, 해당 위원회는 위원장 및 100명 이상 300명 이내의 조정위원으로 구성하도록 규정하고 있음.\n2025년 2월 기준 조정위원회의 위원 구성을 살펴보면, 보건의료인단체 또는 보건의료기관단체에서 추천한 위원은 전체 위원의 약 44%인 반면, 환자를 포함하여 소비자의 입장을 대변할 수 있는 비영리민간단체에서 추천한 위원은 15%가 채 안되는 것으로 나타나고 있어 이를 개선할 필요가 있음.\n또한, 조정위원회의 업무를 효율적으로 수행하기 위하여 조정부를 구성하는 경우에도 소비자의 권익을 대변할 비영리민간단체에서 추천한 위원 수의 비중을 높일 필요가 있음.\n이에 조정위원회의 위원 중 비영리민간단체에서 추천한 위원이 전체 위원의 과반수가 되도록 위원회를 구성하도록 하고, 조정부의 조정위원을 7명으로 구성하되, 그 중 3명은 비영리민간단체에서 추천한 사람으로 구성하도록 함으로써 환자의 권익을 보호하고 증대하려는 것임(안 제20조제2항 및 제23조제1항ㆍ제3항).","['필수의료', '의료분쟁', '소비자', '피해구제', '권리구제', '의료인력부족', '차별구제', '의료안전망', '보험료지원', '소비자분쟁조정위원회', '환자', '의료지원', '상담', '비영리민간단체']"
2210598,환자안전법 일부개정법률안,2025-05-26,"['김선민', '김남희', '김준형', '백선희', '서왕진', '신장식', '장종태', '전종덕', '전진숙', '정춘생', '황운하']","['조국혁신당', '더불어민주당', '조국혁신당', '조국혁신당', '조국혁신당', '조국혁신당', '더불어민주당', '진보당', '더불어민주당', '조국혁신당', '조국혁신당']",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2Y5Z0Y4G2G1E1F4D2D0C4D1Y6Z2X1,1,,"제안이유 및 주요내용\n현행법은 환자안전 및 의료 질 향상을 위한 주요 시책, 환자안전사고 예방 및 재발 방지에 관한 사업계획 및 추진방법 등을 심의하기 위하여 보건복지부에 국가환자안전위원회를 두도록 규정하고 있음.\n그런데 국가환자안전위원회의 위원 구성 중 노동계, 비영리민간단체, 소비자단체에서 추천한 위원이 전체 위원 중 5명에 불과해 환자를 포함하여 소비자의 목소리를 충분히 대변하기에는 한계가 있으므로 이를 개선할 필요가 있음.\n이에 국가환자안전위원회의 위원 중 노동계, 비영리민간단체, 소비자단체에서 추천한 위원이 전체 위원의 과반수가 되도록 위원회를 구성하도록 함으로써 환자의 안전 및 권익을 증대하려는 것임(안 제8조).","['필수의료', '노동계', '건강안전망', '소비자단체', '의료질향상', '의료안전망', '재발방지', '환자', '노동자보호', '비영리민간단체', '환자안전']"
2210597,전기통신사업법 일부개정법률안,2025-05-26,"['최민희', '권향엽', '김문수', '김윤', '김현', '노종면', '박지원', '박해철', '송재봉', '이광희', '이병진', '정동영', '조인철', '황정아']","['더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당', '더불어민주당']",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2J5H0H5G2E0F1N3O1M9M1K2J7K6R3,1,,"제안이유 및 주요내용\n지난 2009년 11월과 2011년 3월 이래 글로벌 앱 마켓사업자(구글ㆍ애플)들은 국내 앱 시장의 시장지배적 사업자로 거래상 지위를 악용하여, 자기들의 앱 마켓인 Google Play Store와 Apple App Store에서 모든 거래에 대해 소위 ‘인앱 결제’라는 명목의 높은 독점가격인 30% 수수료를 국내 모바일 게임 앱 업체들에게 과금 징수하여 왔음.\n이에 우리나라는 세계 최초로 글로벌 앱 마켓사업자가 자기들의 거래상의 지위를 부당하게 이용하여 모바일콘텐츠 등 제공사업자에게 특정한 인앱결제 방식을 강제하는 행위를 전기통신사업법 제50조 금지행위로 처벌규정을 제정하였음.\n그러나, 글로벌 앱 마켓사업자들은 여전히 모바일콘텐츠 사업자에게 30% 인앱 결제 수수료를 과금하고, 형식상 제3자 외부결제를 허용하고 있으나, 제3자 외부결제를 이용할 경우 제3자 외부결제 수수료 이외에 고정 수수료 26%를 부과하여 해당 앱 마켓 대비 실질적으로 더 높은 비용을 부담하게 함으로써 법 조항을 우회하거나 회피하는 실정임.\n반면, 미국에서는 2023년 12월 11일 연방법원 배심평결에서 밝혀진 바와 같이, ‘중국을 제외한 전 세계 앱 시장’에서 인앱 결제 수수료 강제 부과는 미국 연방 반독점법(Sherman Act) 및 미국 캘리포니아 주 반독점법(Cartwright Act)위반이라고 사실 확정하였고, 연방법원의 감정인 진술(23년 11월 28일) 및 진술서(24년 4월 11일)에서 구글의 내부문서를 통하여 실제 소요되는 인앱 결제 수수료는 4%～6%에 불과하고, 강제 결합행위가 없었다면 기껏 최대 10% 인앱 결제 수수료를 받았을 것이라고 드러났으나, 국내 앱 마켓에서는 현재까지 계속해서 국내 모바일콘텐츠 사업자들에게 약 5배에 달하는 부당한 30% 인앱 결제 수수료를 부과하고 있음.\n글로벌 앱 마켓사업자(구글ㆍ애플)들의 국내 앱 마켓에서의 독점적ㆍ우월적 지위를 이용한 여러 방면에서 다양한 영업상 보복적 수단으로 모바일콘텐츠 사업자들이 전기통신사업법 제50조 금지행위 위반으로 인하여 피해를 입었더라도 위반사실의 신고 또는 위반행위에 대해 손해배상 청구를 하지 못하는 실정임.\n이에 앱 마켓사업자가 모바일콘텐츠 등 제공사업자가 제50조제1항에 따른 금지행위 위반 사실의 신고 또는 제55조제2항에 따른 손해배상을 청구한 사실을 이유로 모바일콘텐츠 등 제공사업자에게 불리하게 거래조건을 변경하거나 해지하는 행위 또는 계약 조건 및 이행 과정에서 불이익을 주는 행위를 금지하도록 하고, 이를 위반하는 경우, 앱 마켓사업자가 위반행위에 고의 또는 과실이 없었음을 증명하지 못하면 그 책임을 면할 수 없도록 하며, 3배의 징벌적 손해배상을 하도록 하여 모바일콘텐츠 등 제공사업자의 권익을 보호하고, 방송통신위원회는 제50조제1항 금지행위 등 위반행위가 있다고 신고한 경우 필요한 조사를 하고 상당한 기간 내에 조사결과를 신고인 또는 해당사건의 당사자에게 통지하도록 함(안 제22조의9 등).","['모바일앱', '모바일', '애플', '수수료', '거래상대방구속행위', 'Google', '구글', '앱(App)', '모바일간편결제', '저작권', '반독점소송', '가상자산ETF', '독과점', 'Apple', '앱마켓', '채팅앱']"
2210596,부동산 거래신고 등에 관한 법률 일부개정법률안,2025-05-23,"['유용원', '김미애', '김소희', '김재섭', '배준영', '신동욱', '이헌승', '임종득', '조승환', '조지연', '최형두']","['국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘']",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2E5C0D5B2J2K1I5I2H1I3G2G0P3N3,1,,"제안이유 및 주요내용\n현행법은 외국인이 군사기지 및 군사시설 보호구역 등에 해당하는 토지를 취득하려는 경우 토지취득의 허가를 받아야 한다고 규정하여 국방과 관련된 토지에 대하여 외국인등의 토지거래 허가제를 운영하고 있음.\n그런데 최근 국가안보환경이 복잡해짐에 따라 외국계 자본의 군사시설 인근 토지매입이 국제적으로 심각한 안보위협으로 부각되고 있으며, 이에 해외 주요 국가들은 외국인의 군사시설 인근 토지 취득을 금지하는 법안들을 도입하고 있는 상황임.\n이에 「군사기지 및 군사시설 보호법」 일부개정을 통하여 외국인등의 군사시설 인근 토지 취득을 금지하는 한편 현행법의 외국인등의 토지거래 허가제 관련 규정을 삭제함으로써 법체계의 통일성을 확보하고 국가안보의 확립에 기여하려는 것임(안 제9조제1항제1호).\n참고사항\n이 법률안은 유용원의원이 대표발의한 「군사기지 및 군사시설 보호법 일부개정법률안」(의안번호 제10595호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정의결되는 경우에는 이에 맞추어 조정되어야 할 것임.","['국가안위', '군사시설보호구역', '부동산공약', '안보협력', '외국인', '국가안보']"
2210595,군사기지 및 군사시설 보호법 일부개정법률안,2025-05-23,"['유용원', '김미애', '김소희', '김재섭', '배준영', '신동욱', '이헌승', '임종득', '조승환', '조지연', '최형두']","['국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘', '국민의힘']",https://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2F5C0A5B2Z3Z1X5G2G4E2F2D5E0C8,1,,"제안이유 및 주요내용\n현행 「부동산 거래신고 등에 관한 법률」에 따라 군사기지 및 군사시설 보호구역, 그 밖에 국방목적을 위하여 외국인등의 토지취득을 특별히 제한할 필요가 있는 지역에서 외국인이 토지를 취득하려면 신고관청으로부터 허가를 받도록 하고 있으나 최근 군사기지 및 군사시설 보호구역 및 그 인근 토지를 외국인이 취득ㆍ보유하는 사례가 늘어나면서, 해당 지역이 첩보ㆍ정찰 활동의 거점으로 악용될 위험에 대한 우려가 제기되고 있음.\n미국ㆍ캐나다 등 일부 국가는 군사시설 주변 토지나 건물을 외국인이 취득할 수 없도록 법을 강화하며, 자국 내 군사시설 주변에 대한 보안을 강화하고 있음.\n이에 통제보호구역 및 제한보호구역 중 국방목적상 중요한 지역에 대하여는 외국인등이 토지를 취득할 수 없도록 규제 수준을 격상하고, 상속ㆍ유증 등 불가피한 경우에 한해 외국인등의 토지취득을 허용하되, 국방부장관에게 신고하도록 하여 국방목적상 중요한 지역에 대한 외국인의 토지 소유를 선제적으로 차단함으로써 국가안보를 튼튼히 하려는 것임(안 제9조의2 신설 등).\n참고사항\n이 법률안은 유용원의원이 대표발의한 「부동산 거래신고 등에 관한 법률 일부개정법률안」(의안번호 제10596호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정의결되는 경우에는 이에 맞추어 조정되어야 할 것임.","['캐나다', '국가안위', '군사시설보호구역', '안보협력', '외국인', '국가안보']"
