categories,keywords,title,link,author,pubDate,img_src,text
"['정치', '지역']","['폭행', '투표참관인', '선거관리위원회', '선거사무', '사전투표', '대통령선거']","인천선관위 ""선거사무관계자 폭행한 투표 참관인 고발""",https://www.yna.co.kr/view/AKR20250530161000065,['강종구'],"Fri, 30 May 2025 20:11:47 +0900",https://img.yna.co.kr/photo/yna/YH/2025/05/29/PYH2025052900630001300_P2.jpg,"(서울=연합뉴스) 김성민 기자 = 제21대 대통령선거 사전투표 첫날인 29일 서울 성동구 송정동공공복합청사에 마련된 사전투표소에서 공정선거참관단과 사전투표참관인이 투표함 봉인 과정을 확인하고 있다. 2025.5.29 ksm7976@yna.co.kr\n\n(인천=연합뉴스) 강종구 기자 = 인천 중구선거관리위원회는 제21대 대통령선거 사전투표 업무를 방해하고 선거사무 관계자를 폭행한 투표 참관인 등 2명을 경찰에 고발했다고 30일 밝혔다.\n선관위는 투표 참관인 A씨가 지난 29일 인천시 중구 관내 사전투표소의 투표함 봉인·봉쇄 과정에서 ""부정선거 방지를 위해 투표함 투입구 봉인지와 투표함 뚜껑에 간인하는 방법으로 서명하겠다""며 투표함 봉인·봉함과 회송을 막았다고 밝혔다.\n아울러 관외 사전 회송용 봉투 인계 과정에서 선거사무 관계자의 팔을 붙잡아 매는 등 폭력을 행사한 혐의가 있다고 덧붙였다.\n또 B씨는 투표 참관인이 아닌데도 투표소에 들어와 투표함의 봉인·봉쇄와 관련해 사전투표 사무를 방해한 혐의를 받고 있다.\n인천시선관위는 정당한 투표업무를 방해하거나 선거사무 관계자에게 위해를 가하는 행위에 단호하게 대처할 것이라고 밝혔다.\ninyon@yna.co.kr"
"['정치', '지역']","['투표율', '제21대대선', '부산', '사전투표', '유권자']",[사전투표] 부산 역대 두번째 30.37%…20대 대선보다 3.88%p↓,https://www.yna.co.kr/view/AKR20250530159300051,['김선호'],"Fri, 30 May 2025 19:37:29 +0900",https://img.yna.co.kr/photo/yna/YH/2025/05/30/PYH2025053004520005100_P2.jpg,"(부산=연합뉴스) 강선배 기자 = 제21대 대통령 선거 사전투표 둘째 날인 30일 부산 수영 동원로얄듀크 101동 지하 휘트니스센터에 마련된 사전투표소에서 유권자들이 소중한 한표를 행사하고 있다. 2025.5.30 sbkang@yna.co.kr\n\n(부산=연합뉴스) 김선호 기자 = 29∼30일 부산지역 제21대 대선 사전투표율이 30.37%로 집계됐다.\n중앙선거관리위원회에 따르면 부산 선거인 수 286만5천552명 중 87만147명이 사전 투표에 참여해 투표율은 30.37%였다.\n전국 평균인 34.74%에는 미치지 못했다.\n제20대 대선 부산 사전투표율인 34.25%보다도 3.88% 포인트 낮지만, 사전투표 사상 두 번째로 높은 투표율이다.\n영도구가 33.70%로 가장 높았고 동구 33.58%, 금정구 33.32%, 중구 32.32%, 서구 32.21%로 주로 원도심에서 사전투표 참여가 많았다.\n투표율 하위 3개 지자체는 사상구 28.27%, 기장군 28.35%, 북구 28.83%였다.\n제21대 대선 본선거는 6월 3일 치러진다.\nwink@yna.co.kr"
"['정치', '지역']","['유권자', '투표율', '선거관리위원회', '사전투표', '대통령선거']",[사전투표] 강원 최종 36.6%…지난 대선보다 소폭 하락,https://www.yna.co.kr/view/AKR20250530159000062,['박영서'],"Fri, 30 May 2025 19:36:11 +0900",https://img.yna.co.kr/photo/yna/YH/2025/05/30/PYH2025053013950006200_P2.jpg,"(속초=연합뉴스) 류호준 기자 = 21대 대통령 선거 사전투표 둘째 날인 30일 강원 속초시 청학동 속초초등학교 체육관에 마련된 사전투표소에서 유권자들이 투표용지를 배부받고 있다. 2025.5.30 ryu@yna.co.kr\n\n(춘천=연합뉴스) 박영서 기자 = 강원지역의 제21대 대통령선거 사전투표율이 지난 대선보다 소폭 하락했다.\n30일 강원특별자치도선거관리위원회에 따르면 이틀간 치러진 사전투표에 도내 선거인 132만7천19명 중 48만5천739명이 참여해 투표율 36.60%를 기록했다.\n지난 20대 대선 사전투표율 38.42%보다 1.82%p 감소했다.\n지역별로는 삼척시(41.15%)와 평창군(40.97%), 인제군(40.82%), 태백시(40.64%), 화천군(40.08%) 등 5개 시군이 40%를 넘겼다.\n철원군(33.20%), 강릉시(34.05%), 원주시(35.49%), 춘천시(35.63%), 동해시(35.73%)는 상대적으로 저조했다.\n선관위는 관내 사전 투표함은 정당·후보자별 투표참관인과 호송을 위한 경찰공무원을 동반해 시군선관위로 옮기고, 관외 사전 투표함의 회송용 봉투는 담당 우체국에 인계한다.\n투표함은 개표소로 옮기기 전까지 출입이 철저히 통제된 장소에 보관한다.\n도선관위 청사에 설치한 대형 폐쇄회로(CC)TV 모니터를 통해 24시간 투표함 보관 상황을 확인할 수 있다.\n(화천=연합뉴스) 이상학 기자 = 제21대 대통령선거 사전투표 첫날인 29일 오후 강원 화천군 청소년수련관에 마련된 사전투표소에서 군장병들이 줄지어 투표에 참여하고 있다. 2025.5.29 hak@yna.co.kr\n\nconanys@yna.co.kr"
['정치'],"['유권자', '투표율', '대구', '사전투표', '대통령선거']",21대 대선 사전투표 최종 투표율 34.74%…역대 두 번째 최고치(종합),https://www.yna.co.kr/view/AKR20250530154751001,['안채원'],"Fri, 30 May 2025 19:30:53 +0900",https://img.yna.co.kr/photo/yna/YH/2025/05/30/PYH2025053008850001300_P2.jpg,"(서울=연합뉴스) 임화영 기자 = 제21대 대통령선거 사전투표 둘째 날인 30일 서울 강남구 역삼1동주민센터에 마련된 사전투표소에서 유권자들이 투표를 위해 줄을 서 있다. 2025.5.30 hwayoung7@yna.co.kr\n\n(서울=연합뉴스) 안채원 기자 = 중앙선거관리위원회는 21대 대통령선거 사전투표 최종 투표율이 34.74%로 집계됐다고 30일 밝혔다.\n사전투표가 전국단위 선거에 처음 적용된 2014년 이후 두 번째로 높은 투표율이다.\n이전까지 가장 높았던 전국단위 선거 사전투표율은 지난 2022년 대선 당시 36.93%였다. 이번 최종 사전투표율은 지난 대선과 견줘 2.19%포인트 낮다. 지난 2017년 대선 때는 26.06%를 기록했다.\n전날부터 이틀간 오전 6시∼오후 6시에 진행된 사전투표는 전체 유권자 4천439만1천871명 가운데 1천542만3천607명이 참여한 것으로 잠정 집계됐다.\n앞서 사전투표 첫날 투표율이 역대 최고치를 기록하며 최종 투표율 또한 종전 최고 기록을 넘어설 것으로 전망되기도 했지만, 이날 오후 2시 기준 투표율부터 지난 대선 수준에 미치지 못하는 추세가 이어지며 최종 투표율은 34%대로 마감했다.\n(서울=연합뉴스) 김도훈 기자 = 제21대 대통령선거 사전투표 둘째 날인 30일 서울 중구 을지누리센터에 마련된 사전투표소에서 사전투표사무원들이 참관인 및 공정선거참관단이 지켜보는 가운데 관외투표함을 열어 투표용지 분류 작업을 하고 있다. 2025.5.30 superdoo82@yna.co.kr\n\n지역별로는 더불어민주당 지지세가 강한 호남이 50%대를 돌파하면서 전국 최고 수준의 사전투표율을 보였다. 지난 20대 대선에서 사전투표율이 50%를 넘은 곳은 전남(51.45%) 한 곳이었다.\n이번 사전 투표에서도 전남의 투표율이 56.50%로 가장 높았다. 이어 전북(53.01%), 광주(52.12%), 세종(41.16%), 강원(36.60%), 제주(35.11%) 순으로 평균 투표율을 웃돌았다.\n투표율이 가장 낮은 곳은 국민의힘 텃밭인 대구로25.63%를 기록했다. 대구는 지난 대선에서 사전투표율 33.91%를 기록한 바 있다.\n대구에 이어서는 부산(30.37%), 경북(31.52%), 경남(31.71%), 울산(32.01%), 충남(32.38%), 충북(33.72%), 대전(33.88%) 순으로 투표율이 낮았다.\n서울(34.28%), 경기(32.88%), 인천(32.79%) 등 수도권 투표율도 전국 평균을 밑돌았다.\n(과천=연합뉴스) 서대연 기자 = 제21대 대통령 선거 사전투표가 끝난 30일 저녁 경기도 과천시 중앙선거관리위원회 선거종합상황실에서 한 관계자가 사전투표 현황 등을 확인하고 있다.이번 사전투표 최종 투표율은 역대 두번째 최고치인 34.74%로 집계됐다. 2025.5.30 dwise@yna.co.kr\n\nchaewon@yna.co.kr"
"['정치', '사회', '지역']","['투표율', '선거관리위원회', '경찰', '사전투표', '유권자']","[사전투표] ""미리 투표 마쳤어요""…경기지역 이틀째 유권자 발길(종합)",https://www.yna.co.kr/view/AKR20250530034551061,['김솔'],"Fri, 30 May 2025 19:29:47 +0900",https://img.yna.co.kr/etc/inner/KR/2025/05/30/AKR20250530034551061_03_i_P2.jpg,"(수원=연합뉴스) 이영주 권준우 김솔 기자 = 21대 대통령 선거 사전투표 이틀째인 30일 경기 남부지역 601개 사전투표소에는 아침부터 유권자들의 발길이 이어졌다.\n출근길에 투표소를 찾은 직장인부터 자녀 등원길에 아이와 함께 소중한 한 표를 행사하는 부모까지 저마다의 이유로 사전투표에 참여했다.\n[촬영 이영주]\n\n이날 점심 시간대 의왕시 청계동주민센터에 마련된 사전투표소는 식사 시간을 쪼개 투표하려는 시민들로 분주한 모습이었다.\n이곳에서 투표한 전모(38) 씨는 ""본 투표 때는 업무로 바쁠 듯해 오늘 미리 시간을 냈다""며 ""새로운 대통령이 정국을 안정시켜줬으면 하고, 이 과정에서 불필요한 잡음이 일어나지 않기를 바란다""고 했다.\n앞서 이날 오전 8시 용인시 수지구 상현3동 행정복지센터에 마련된 사전투표소에서 만난 송원호(32) 씨는 ""직장이 이 근처라 출근하는 길에 투표했다""며 ""나라가 어지러운 데 이번 투표로 대통령이 잘 뽑혀서 출산율과 같은 중요한 사회 문제들이 해결되길 바란다""고 말했다.\n마찬가지로 출근 전 사전투표를 마쳤다는 김모(30) 씨는 ""제가 원하는 후보가 당선되길 바라는 마음으로 투표했다""며 ""하루라도 빨리 투표하고 싶어서 사전투표일에 왔다""고 했다.\n이들은 사전투표소를 배경으로 도장이 찍힌 손등 인증 사진을 남긴 뒤 서둘러 직장으로 향했다.\n(서울=연합뉴스) 김도훈 기자 = 제21대 대통령선거 사전투표 둘째 날인 30일 서울 중구 을지누리센터에 마련된 사전투표소에서 투표 종료 이후에도 투표하지 못한 유권자들이 대기표를 들고 투표 순서를 기다리고 있다. 2025.5.30 superdoo82@yna.co.kr\n\n7살 아들 손을 잡고 투표소를 찾은 한종철(42) 씨는 ""오늘 마침 아이 유치원 참여 수업 날이라 겸사겸사 아이에게 투표하는 모습도 보여주기 위해 함께 왔다""며 ""아내도 조금 전 투표하고 출근했다. 기본에 충실한 나라가 됐으면 좋겠다""고 바람을 전했다.\n상현3동 사전투표소 선거관리원은 ""어제 하루 동안, 이 투표소에 관외, 관내 총 2천400여명이 투표했다""며 ""이전 선거보다 사전투표에 대한 열기가 확실하게 체감된다. 오늘도 새벽 5시 40분부터 30여명이 줄을 서서 기다렸다""고 설명했다.\n사전투표관리관은 ""수지구에 11개 투표소가 있는데 이곳이 6번째로 투표수가 많았다""며 ""오늘 점심시간에도 많은 분이 올 것으로 예상된다""고 전했다.\n비슷한 시각 수원시 영통구 매탄3동 사전투표소에도 출근길에 맞춰 투표하는 사람들이 몰리며 엘리베이터 앞에 일부 대기 줄이 생기기도 했다.\n아이를 어린이집에 맡기러 가는 길에 투표소를 찾은 유권자들도 눈에 띄었다.\n30대 여성 박모 씨는 ""본 투표 날에는 무슨 일이 생길지도 모르니 어린이집 등원 길을 조금 일찍 나서 투표소를 찾았다""며 ""아이들의 미래를 지켜줄 수 있는 후보가 대통령이 되면 좋겠다""고 말했다.\n(서울=연합뉴스) 김도훈 기자 = 제21대 대통령선거 사전투표 둘째 날인 30일 서울 중구 을지누리센터에 마련된 사전투표소에서 투표 종료 이후에도 투표하지 못 한 유권자들이 대기표를 들고 투표 순서를 기다리고 있다. 2025.5.30 superdoo82@yna.co.kr\n\n사전투표와 관련한 112 신고도 이어졌다.\n경기남부경찰청에 따르면 이날 오전 5시부터 오후 6시까지 사전투표와 관련해 관내에서 접수된 112 신고는 39건이다.\n현수막 및 공보물 훼손 등 기타 관련 신고는 총 41건으로, 이날 이번 선거와 관련해 들어온 신고는 총 80건이다.\n이날 오전 7시 10분께 용인시 수지구 성복동 주민센터 사전투표소에서는 선거 참관인으로부터 ""회송용 봉투에서 이재명 후보에게 기표된 투표용지가 반으로 접힌 채 나왔다""는 112 신고가 접수됐다.\n이 신고는 한 20대 여성 투표인 A씨가 관외투표를 하는 과정에서 자신의 회송용 봉투 안에 기표용지가 있다고 선거 참관인에게 알리면서 즉시 이뤄졌다.\n해당 과정을 들여다본 선거관리위원회는 이날 공지를 통해 이날 공지를 통해 ""자작극으로 추정돼 경찰에 수사를 의뢰할 예정""이라고 밝혔다.\n이 밖에 투표용지 및 투표함 봉인지에 이상이 의심된다는 내용의 신고가 주를 이뤘고, ""투표하러 들어가는 사람들의 숫자를 세고 촬영을 하는 사람이 있다""는 신고도 잇달았다.\n21대 대선 사전투표의 전국 최종 투표율은 역대 두 번째인 34.74%를 기록했고 경기지역은 32.88%로 집계됐다.\nyoung86@yna.co.kr"
"['정치', '지역']","['유권자', '투표율', '선거관리위원회', '사전투표', '대통령선거']",[사전투표] 충북 최종 33.72%…지난 대선보다 2.44%P↓,https://www.yna.co.kr/view/AKR20250530156200064,['이성민'],"Fri, 30 May 2025 19:26:16 +0900",https://img.yna.co.kr/photo/yna/YH/2025/05/30/PYH2025053002090006400_P2.jpg,"(청주=연합뉴스) 이성민 기자 = 제21대 대선 사전투표 이틀째인 30일 오전 충북 청주시 도시재생 허브센터 중앙동 사전투표소에서 시민들이 투표하고 있다. 2025.5.30 chase_arete@yna.co.kr\n\n(청주=연합뉴스) 이성민 기자 = 충북지역의 제21대 대통령 선거 사전투표율이 지난 대선 때보다 소폭 하락했다.\n30일 충북도 선거관리위원회에 따르면 전날 오전 6시부터 이날 오후 6시까지 이틀간 진행된 사전투표 마감 결과 도내 유권자 137만9천142명 중 46만5천11명이 투표, 33.72%의 사전투표율을 기록했다.\n이는 3년 전 실시한 제20대 대선 당시 충북 사전투표율(36.16%)보다 2.44%포인트 낮은 수치다.\n시군별 사전투표율은 보은군(43.59%)이 가장 높고 괴산군(42.43%), 영동군(42.21%), 옥천군(41.38%), 단양군(40.13%)이 뒤를 이었다.\n이어 제천시(37.23%), 음성군(36.33%), 증평군(35.75%), 진천군(35.68%), 충주시(34.99%) 순이다.\n청주시 4개 구의 사전투표율은 서원구(32.08%), 상당구(31.40%), 흥덕구(29.93%), 청원구(28.11%)로 낮았다.\n전국 시도 평균 사전투표율은 34.74%이다.\nchase_arete@yna.co.kr"
"['정치', '사회', '지역']","['유권자', '투표율', '전북', '사전투표', '대통령선거']",전북 사전투표율 53.01% '역대 최고'…순창은 전국 1위,https://www.yna.co.kr/view/AKR20250530157500055,['임채두'],"Fri, 30 May 2025 19:21:57 +0900",https://img.yna.co.kr/etc/graphic/YH/2025/05/30/GYH2025053000070004400_P2.jpg,"(서울=연합뉴스) 김영은 원형민 기자 = 30일 중앙선거관리위원회에 따르면 21대 대통령선거 사전투표 최종 투표율이 34.74%로 집계됐다.전날부터 이틀간 오전 6시~오후 6시에 진행된 사전투표는 전체 유권자 4천439만1천871명 가운데 1천542만3천607명이 참여한 것으로 잠정 집계됐다.0eun@yna.co.kr페이스북 tuney.kr/LeYN1 트위터 @yonhap_graphics\n\n(전주=연합뉴스) 임채두 기자 = 전북 지역 제21대 대통령 선거 사전투표율이 역대 최고치를 기록했다.\n30일 중앙선거관리위원회에 따르면 도내 최종 사전투표율은 53.01%로 나타났다.\n선거인 151만908명 중 80만975명이 투표에 참여한 것이다.\n전국적으로 가장 투표율이 높은 전남(56.50%) 다음이다.\n전국 평균 투표율 34.74%도 훌쩍 뛰어넘었다.\n시·군·구로 좁혀보면 순창 투표율이 69.35%로 전국에서 가장 높았다.\n전북 사전투표율 53.01%는 역대 대선 사전투표 중 최고치다.\n도내 제19대 대선 사전투표율은 31.64%, 제20대 대선 사전투표율은 48.63%였다.\n재·보궐선거를 제외한 역대 국회의원선거, 지방선거로 넓혀봐도 전례를 찾기 힘든 수치다.\n이번 사전투표는 29∼30일 도내 242개 투표소에서 치러졌다.\n본투표는 6월 3일이다.\ndoo@yna.co.kr"
"['정치', '사회']","['선거사무원', '투표참여', '투표율', '사전투표', '유권자']","[사전투표] 마감까지 '헐레벌떡' 한표…""들여보내달라"" 발동동 소란도(종합)",https://www.yna.co.kr/view/AKR20250530102751004,['이동환'],"Fri, 30 May 2025 19:19:33 +0900",https://img.yna.co.kr/photo/yna/YH/2025/05/30/PYH2025053016810001302_P2.jpg,"(서울=연합뉴스) 김도훈 기자 = 제21대 대통령선거 사전투표 둘째 날인 30일 서울 중구 을지누리센터에 마련된 사전투표소에서 투표 종료 이후에도 투표하지 못한 유권자들이 대기표를 들고 투표 순서를 기다리고 있다. 2025.5.30 superdoo82@yna.co.kr\n\n(서울·영종도=연합뉴스) 사건팀 = 제21대 대통령선거 사전투표 둘째 날인 30일 시민들은 오후 6시 마감 직전까지 발걸음을 재촉하며 소중한 한표를 행사했다.\n오후 6시까지 대기표를 받으면 그 이후에도 투표가 가능한 만큼 유권자들은 투표할 권리를 놓치지 않기 위해 마감 1∼2분 전까지 투표소로 내달렸다.\n이러한 열기가 모여 최종 사전투표율은 34.74%로 역대 두 번째를 기록했다.\n투표 종료 2분 전인 오후 5시 58분께 송정민(51)씨는 두 딸과 함께 서울 강남구 대치2동주민센터에 뛰어 들어와 가쁜 숨을 몰아쉬었다.\n송씨는 ""딸이 생애 첫 투표인데 꼭 하나의 표로 자기 생각을 표현하기를 바랐다""며 ""차가 막혀서 내리자마자 뛰었는데 운 좋게 투표할 수 있었다""고 말했다.\n본투표 당일 일정이 있다는 한 여성은 일행에게 ""오늘 투표를 못 하면 기회가 없다""고 말하며 바쁘게 투표소에 들어섰다.\n'투표용지 반출' 논란이 불거졌던 서울 서대문구 옛 신촌동 주민센터 사전투표소는 마감 시간이 되자 즉각 대기줄을 폐쇄했다.\n간발의 차이로 늦은 한 중년 여성은 ""투표소 주소를 잘못 알려줬다""며 선거사무원을 밀치고 소란을 피우기도 했다. 선거사무원은 ""경찰을 부르겠다""며 원칙대로 막아섰다.\n(서울=연합뉴스) 김도훈 기자 = 제21대 대통령선거 사전투표 둘째 날인 30일 서울 중구 을지누리센터에 마련된 사전투표소에서 사전투표사무원들이 참관인 및 공정선거참관단이 지켜보는 가운데 관외투표함을 열고 있다. 2025.5.30 superdoo82@yna.co.kr\n\n사전투표소가 마련된 인천국제공항도 마감을 앞두고 분주해졌다. 종료 시각이 다가오자 공항에는 종료 20분 전, 10분 전을 알리는 방송이 울려 퍼졌다.\n사전투표소에는 캐리어를 끌고 다니는 여행객부터 유니폼을 입은 항공사, 공항 직원들의 발걸음이 이어졌다. 마감 직전에는 대부분이 뛰어오느라 숨을 헐떡였다.\n마지막으로 투표소에 들어선 승무원 이모(33)씨는 ""말레이시아로 출국해야 하는데 공항버스 시간과 맞지 않아서 동네에서 못하고 왔다""며 ""공항에도 투표소가 있어서 다행이라고 생각했는데 6시 마감이라고 해서 급하게 뛰었다""고 했다.\n일본 여행을 다녀왔다는 한씨 세 자매는 여행을 기념해 공항에서 투표를 꼭 해야겠다고 생각했다고 전했다.\n큰 언니 한모(56)씨는 ""대통령 선거를 공항에서 하면 기억에 엄청 남을 것 같다고 생각했다""며 ""오후 5시 50분에 짐을 찾고 엄청 뛰어왔다""고 말했다.\n스페인 바르셀로나에서 7박 9일 여행을 마친 뒤 이날 귀국했다는 김모(57)씨는 ""입국하고 투표소까지 뛰어오느라 땀이 난다""며 ""요즘 많이 시끄러웠는데 새로운 마음으로 새로운 시대가 밝았으면 좋겠다""고 말하며 웃었다.\n(영종도=연합뉴스) 서대연 기자 = 제21대 대통령선거 사전투표가 시작된 29일 오전 인천국제공항 제1여객터미널 출국장에 마련된 사전투표소에서 유권자들이 줄을 서고 있다. 2025.5.29 dwise@yna.co.kr\n\n마감 직전까지 긴 줄이 늘어선 곳도 있었다. 혜화동 주민센터에는 사전투표 종료를 1시간 앞둔 오후 5시께에도 건물 밖까지 구불구불 줄이 늘어섰다.\n일부 시민은 '헉'하는 소리를 내며 발걸음을 돌리기도 했다.\n대학생 임소진(21)씨는 ""5시 수업이 끝나고 바로 오는데 '잘하면 오늘 못하겠다'는 생각도 들었다""며 ""본투표 날이 남아있지만, 오늘 무사히 투표를 마쳐서 마음이 조금 더 편안해졌다""고 활짝 웃었다\n(서울=연합뉴스) 김도훈 기자 = 제21대 대통령선거 사전투표 둘째 날인 30일 서울 중구 을지누리센터에 마련된 사전투표소에서 투표 종료 이후에도 투표하지 못한 한 유권자가 대기표를 들고 투표 순서를 기다리고 있다. 2025.5.30 superdoo82@yna.co.kr\n\n투표 후 금요일 저녁을 즐기려는 시민들도 보였다.\n반포2동열리문화센터 투표소 인근은 대규모 아파트 단지와 고속터미널상가·백화점 등 상업시설이 함께 있는 지역인만큼 아파트 주민과 인근에서 저녁 약속을 잡은 시민들이 방문하는 모습이었다.\n'치맥'을 즐기기 전 투표장을 찾았다는 직장인 송인아(25)씨는 ""버스가 생각보다 밀려 조마조마하며 왔다""며 ""선관위 관리 소홀 등 뉴스에서 말이 많지만 본투표 당일엔 못 할 것 같아 서둘렀다""고 말했다.\n(이영섭 장보인 김준태 이율립 최원정 최윤선 기자)\ndhlee@yna.co.kr"
['정치'],['한일관계'],"외교부, 새 정부 앞두고 '2024년 윤석열 정부' 외교백서 발간",https://www.yna.co.kr/view/AKR20250530150700504,['김지연'],"Fri, 30 May 2025 19:11:50 +0900",https://img.yna.co.kr/etc/inner/KR/2025/05/30/AKR20250530150700504_01_i_P2.jpg,"[외교백서 캡처. 재판매 및 DB 금지]\n\n(서울=연합뉴스) 김지연 기자 = 외교부가 내주 새 정부 출범을 앞두고 2024년 정부의 외교정책 기조와 주요 활동을 수록한 '2024 외교백서'를 30일 발간했다.\n외교부는 통상 연말에 전년도 외교활동을 담은 외교백서를 펴왔는데 갑자기 발간 일정을 앞당긴 것이다.\n외교부는 원래 올해부터 백서를 상반기에 발간할 예정이었다는 입장이지만, 새 정부가 들어서기 전 윤석열 정부의 외교 성과를 정리하자는 의도로 읽힌다.\n조태열 외교부 장관은 인사말에서 ""12월 초 비상계엄 선포 이후에는 대통령 권한 대행을 중심으로 우리 외교·안보에 공백이 없도록 배전의 노력을 기울였다""고 자평했다.\n백서는 ""한미동맹의 발전 모멘텀이 미국의 47대 대통령 선거에 따른 행정부 교체와 무관하게 흔들림 없이 지속되도록 부단히 노력했다""고 했다.\n일본에 대해선 전년도와 같이 '가장 가까운 이웃이자 협력 파트너'라는 표현을 쓰며 ""올바른 역사인식에 기반한 한일 양국의 미래지향적 관계 구축을 목표로 다양한 노력을 전개했다""고 전했다.\n한중관계와 대해선 ""2024년에는 중국과 더욱 긴밀하고 활발한 소통과 교류를 이어가기 위해 노력했다""면서도 역사·문화 왜곡, 불법조업 등에 대해선 단호히 대응했다고 밝혔다.\n외교백서는 외교부 홈페이지에 PDF 파일 형식으로 게재돼 누구나 열람할 수 있다.\nkite@yna.co.kr"
"['정치', '지역']","['정권심판', '투표율', '광주', '사전투표', '대통령선거']",[사전투표] 광주 52.1%·전남 56.5%…유권자 절반 이상 사전투표 참여,https://www.yna.co.kr/view/AKR20250530156600054,['박철홍'],"Fri, 30 May 2025 19:11:42 +0900",https://img.yna.co.kr/photo/yna/YH/2025/05/30/PYH2025053002620005400_P2.jpg,"(광주=연합뉴스) 정다움 기자 = 제21대 대통령선거 사전투표 이틀째인 30일 오전 광주 서구 광주학생교육문화회관에 마련된 사전투표소에서 유권자들이 투표하고 있다. 2025.5.30 daum@yna.co.kr\n\n(광주·무안=연합뉴스) 박철홍 기자 = 광주·전남의 제21대 대통령선거 사전투표율이 역대 최고치를 기록했으며, 전국에서도 가장 높은 수준을 보였다.\n30일 중앙선거관리위원회에 따르면 이틀간 진행된 사전투표 결과 광주는 52.12%, 전남은 56.5%의 투표율을 기록해 전체 유권자의 절반 이상인 광주 62만2천587명, 전남 88만1천109명이 사전투표에 참여한 것으로 나타났다.\n전남은 전국에서 가장 높은 사전투표율을 기록했으며, 광주는 53.01%를 기록한 전북에 이어 전국 3위를 차지했다.\n반면 대구(25.63%), 경북(31.52%), 부산(30.37%), 경남(31.71%) 등 영남권은 전국 평균 사전투표율인 34.74%에 미치지 못했다.\n광주에서는 동구가 55.07%로 가장 높았고, 이어 남구 55.06%, 북구 53.69%, 서구 51.93%, 광산구 48.07% 순이었다.\n전남은 22개 시·군 중 신안군이 65.61%로 가장 높았고, 순천시가 50.94%로 가장 낮은 투표율을 보였다.\n이번 대선에서 광주·전남의 사전투표율은 역대 대선 사전투표율 기록도 경신해 지난 20대 대선 사전투표 대비 광주는 3.85%포인트, 전남은 5.05%포인트 각각 상승했다.\n19대 대선 당시 사전투표율은 광주 33.67%(전국 3위), 전남 34.04%(전국 2위), 20대 대선에서는 광주 48.27%(3위), 전남 51.45%(1위)를 기록했다.\n이번 대선 사전투표가 평일에만 진행됐음에도 광주·전남의 사전투표율 급등한 것은 민주당의 '내란 종식·정권 심판' 구호에 호응하며 호남 민심이 결집한 결과로 풀이된다.\n지병근 조선대 정치외교학과 교수는 ""민주당 지지세가 강한 호남에서는 이번 선거를 통해 민주주의를 회복시켜야 한다는 도덕적 의무감이 투표 참여를 이끈 것으로 분석된다""며 ""다만 과거 다른 선거 사례를 보면 사전투표율 상승이 본 투표율 상승으로 반드시 이어지지는 않는 경향이 있어, 최종 투표율이 크게 오를지는 두고 봐야 할 것 같다""고 밝혔다.\n(여수=연합뉴스) 조남수 기자 = 제21대 대통령선거 사전투표 첫날인 29일 오전 전남 여수시 주암마을회관에 마련된 사전투표소에서 시민들이 줄 서 있다. 2025.5.29 iso64@yna.co.kr\n\npch80@yna.co.kr"
